2019-05-27 11:50:01 INFO  DelegateServiceImpl:40 - Sending data to repository: Delegate [id=101, name=vishnu, address=Address [id=1112, building=unitone, street=talwade, city=pune], events=[Event [id=1112, eventname=talk, date=Sat Dec 21 00:00:00 IST 2019, city=pune]]]2019-05-27 12:11:19 INFO  DelegateServiceImpl:40 - Sending data to repository: Delegate [id=103, name=shailendra, address=Address [id=1113, building=unittwo, street=talwade, city=pune], events=[Event [id=1113, eventname=workshop, date=Sat Dec 21 00:00:00 IST 2019, city=pune]]]
2019-05-27 12:13:52 INFO  DelegateServiceImpl:40 - Sending data to repository: Delegate [id=104, name=vijay, address=Address [id=1114, building=unittwo, street=talwade, city=pune], events=[Event [id=1114, eventname=talk show, date=Thu Feb 21 00:00:00 IST 2019, city=pune]]]
2019-05-27 12:28:40 INFO  DelegateServiceImpl:43 - Sending data to repository: Delegate [id=105, name=ujjawal, address=Address [id=1115, building=unitthree, street=talwade, city=pune], events=[Event [id=1115, eventname=java, date=Wed Dec 11 00:00:00 IST 2019, city=mumbai]]]
2019-05-30 09:15:27 INFO  DelegateServiceImpl:43 - Sending data to repository: Delegate [id=106, name=ujjawal, address=Address [id=1116, building=unitfour, street=chowk, city=bangalore], events=[Event [id=1116, eventname=.net, date=Tue Nov 10 00:00:00 IST 2020, city=delhi]]]
2019-06-03 14:32:04 INFO  DelegateServiceImpl:43 - Sending data to repository: Delegate [id=107, name=rakesh, address=Address [id=1117, building=unitseven, street=chowkone, city=delhi], events=[Event [id=1117, eventname=.net, date=Thu Nov 12 00:00:00 IST 2020, city=delhi]]]
2019-06-04 14:09:26 INFO  DelegateServiceImpl:43 - Sending data to repository: Delegate [id=107, name=rakesh, address=Address [id=1117, building=unitseven, street=chowkone, city=delhi], events=[Event [id=1118, eventname=.netplus, date=Thu Nov 12 00:00:00 IST 2020, city=delhi]]]
2012-01-03 00:50:33 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123, name=qwe, address=Address [id=1, building=null, street=sqwds, city=asqwe], events=[Event [id=11, eventname=undefined, date=Mon Jun 12 00:00:00 IST 982, city=asdcwaed]]]
2012-01-03 00:52:57 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=11234124, name=sad, address=Address [id=1102897389, building=qwd, street=qwd, city=qwd], events=[Event [id=3462467, eventname=undefined, date=Mon Sep 12 00:00:00 IST 91, city=qadqdwd]]]
2012-01-03 00:55:36 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1231313131, building=qweqe, street=adada, city=asdad], events=[Event [id=123, eventname=java, date=Fri Nov 11 00:00:00 IST 1121, city=qweqweq]]]
2012-01-03 01:00:38 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=123131, building=qweqe, street=adada, city=asdad], events=[Event [id=121123, eventname=javaone, date=Fri Nov 11 00:00:00 IST 1121, city=qweqweqsx]]]
2012-01-03 01:01:41 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12313112, building=qweqe, street=adada, city=asdad], events=[Event [id=121123121, eventname=javaone, date=Fri Nov 11 00:00:00 IST 1121, city=qweqweqsx]]]
2012-01-03 01:20:40 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=1200, eventname=javaonethree, date=Fri Nov 11 00:00:00 IST 1121, city=qweqweqsx]]]
2012-01-03 01:21:13 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1202, building=qweqe, street=adada, city=asdad], events=[Event [id=1201, eventname=javaonetwothree, date=Fri Nov 11 00:00:00 IST 1121, city=qweqweqsx]]]
2012-01-03 01:36:35 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=120112, eventname=javaonetwothreef, date=Fri Nov 11 00:00:00 IST 1121, city=qwetwo]]]
2012-01-03 01:40:16 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=17, eventname=netonetwothreef, date=Fri Nov 11 00:00:00 IST 1121, city=qwetwo]]]
2012-01-03 01:41:37 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=173, eventname=newtest, date=Fri Nov 11 00:00:00 IST 1121, city=qwetwo]]]
2012-01-03 01:44:03 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=1737, eventname=newtest, date=Fri Nov 11 00:00:00 IST 1121, city=qwetwo]]]
2012-01-03 01:45:37 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=112737, eventname=newtesto, date=Fri Nov 11 00:00:00 IST 1121, city=qwetwo]]]
2012-01-03 01:47:13 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=11123, eventname=ammo, date=Fri Nov 11 00:00:00 IST 1121, city=qwetwo]]]
2012-01-03 01:48:16 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=11, eventname=ammao, date=Fri Nov 11 00:00:00 IST 1121, city=as]]]
2012-01-03 01:48:52 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=11, eventname=ammao, date=Fri Nov 11 00:00:00 IST 1121, city=as]]]
2012-01-03 01:49:33 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=11, eventname=ammao, date=Fri Nov 11 00:00:00 IST 1121, city=as]]]
2012-01-03 01:50:13 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=11, eventname=ammao, date=Fri Nov 11 00:00:00 IST 1121, city=as]]]
2012-01-03 01:50:52 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=11, eventname=asda, date=Fri Nov 11 00:00:00 IST 1121, city=as]]]
2012-01-03 01:52:07 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=11, eventname=asda, date=Fri Nov 11 00:00:00 IST 1121, city=as]]]
2012-01-03 01:52:45 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=12021, building=qweqe, street=adada, city=asdad], events=[Event [id=1012, eventname=asda, date=Fri Nov 11 00:00:00 IST 1121, city=as]]]
2012-01-03 01:53:18 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101, eventname=asda, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:55:58 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:02 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:03 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:03 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:03 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:03 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:04 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:04 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
